previous_period_id,previous_dependency,previous_person_name,office_id,start_inclusive,end_exclusive,disposition,current_service_ids,current_affiliation_ids,resolved_succession,remaining_dependencies,days_still_blocked,primary_unfilled_days,evidence_ids,decision_ids
dilma_2-2016-04-19,person-ffd279a48828,Josélio de Andrade Moura,dilma_2-integracao,2016-04-19,2016-05-12,resolved_by_service_and_affiliation_adjudication,service-dilma_rousseff-1-50,affiliation-47d73aaf6f1d,Josélio de Andrade Moura 2016-04-19/2016-05-12 vacancy_acting,,0,0,C016;LEG-69449ca60500,C016;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
lula_3-2023-05-04,office:gap-0ba755952dfd,,lula_3-turismo,2023-05-04,2023-09-06,resolved_by_service_and_affiliation_adjudication,service-C038-wallace-nunes-da-silva;service-lula_2023_presente-2-45;service-lula_2023_presente-2-46,affiliation-56794fb10347;affiliation-C038-wallace-nunes-da-silva-2023-07-14;affiliation-caf93607eaeb;affiliation-e01d874b01f1,Wallace Nunes da Silva 2023-07-14/2023-07-18 vacancy_acting | Daniela Carneiro 2023-05-04/2023-07-14 titular | Celso Sabino 2023-07-18/2023-09-06 titular,,0,0,AFF-034;AFF-035;AFF-036;C038;C070;C073;LEG-68b75f23e045;LEG-caa1bb9ce390,C038;C070;C073;OFF-041;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R27
lula_3-2023-05-04,person-a8fa920e4c2c,Marcos Antonio Amaro dos Santos,lula_3-gsi,2023-05-04,2023-09-06,resolved_by_service_and_affiliation_adjudication,service-lula_2023_presente-2-54,affiliation-898ef4b59c08,Marcos Antonio Amaro dos Santos 2023-05-04/2023-09-06 titular,,0,0,C002;LEG-0183d30a8b9f,C002;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R29
lula_3-2024-09-10,office:gap-9f2ffa84e57d,,lula_3-secretaria-extraordinaria-da-presidencia-da-republica-para-apoio-a-reconstrucao-do-rio-grande-do-sul,2024-09-10,2024-09-12,resolved_by_service_and_affiliation_adjudication,service-lula_2023_presente-2-61,affiliation-64183fdaa42d,Paulo Pimenta 2024-09-10/2024-09-12 titular,,0,0,C011;LEG-260dc224b3b3,C011;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
lula_3-2025-04-09,person-940be97e3133,Sônia Faustino Mendes,lula_3-comunicacoes,2025-04-09,2025-04-24,resolved_by_service_and_affiliation_adjudication,service-lula_2023_presente-2-6,affiliation-843ca333bcc9,Sônia Faustino Mendes 2025-04-09/2025-04-24 titular,,0,0,C003;LEG-25f8de4303a5,C003;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
lula_3-2026-01-09,person-5ade68870caa,Manoel Carlos de Almeida Neto,lula_3-justica,2026-01-09,2026-01-15,resolved_by_service_and_affiliation_adjudication,service-lula_2023_presente-2-27,affiliation-32ce62e2a7e9,Manoel Carlos de Almeida Neto 2026-01-09/2026-01-15 vacancy_acting,,0,0,C004;LEG-f1f3a25b37b6,C004;OFF-046;PERSON-CONTINUITY-REVIEW
temer-2016-05-23,office:gap-2fa6a3c49c36,,temer-cultura,2016-05-23,2016-05-24,resolved_by_explicit_office_vacancy_adjudication,,, VACANT_PENDING_FIRST_MINISTER: C050: legally created ministerial office awaiting first actual ministerial possession; administrative support does not appoint a minister.,,0,0,C050,
temer-2016-06-01,office:gap-fecbcbb06f7f,,temer-cgu,2016-06-01,2016-06-02,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-17,affiliation-f5366afa80a8,Carlos Higino Ribeiro de Alencar 2016-06-01/2016-06-02 vacancy_acting,,0,0,C033;LEG-10ae0d5a66c3,C033;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2016-06-16,office:gap-3ff39bf6a5f5,,temer-turismo,2016-06-16,2016-10-05,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-63;service-michel_temer-0-64,affiliation-398de098c7cd;affiliation-8527ce77d2d2,Henrique Eduardo Alves 2016-06-16/2016-06-17 titular | Alberto Alves 2016-06-17/2016-10-05 titular,,0,0,C019;C045;LEG-0ac27f4dceb2;LEG-b9d4dcb53939,C019;C045;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2016-06-16,person-9cf6aaca0bc9,Alberto Alves,temer-turismo,2016-06-16,2016-10-05,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-64,affiliation-8527ce77d2d2,Alberto Alves 2016-06-17/2016-10-05 titular,,0,0,C019;LEG-b9d4dcb53939,C019;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2016-10-10,office:gap-c219bbffd68c,,temer-minas-e-energia,2016-10-10,2016-10-11,aggregate_resolved_personal_alternatives_retained,service-C041-paulo-pedrosa-2016-10-10,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10,Paulo Pedrosa 2016-10-10/2016-10-11 vacancy_acting,,0,0,C041;C067,C041;C067
temer-2016-10-25,office:gap-ad56683a10f9,,temer-minas-e-energia,2016-10-25,2016-10-26,aggregate_resolved_personal_alternatives_retained,service-C041-paulo-pedrosa-2016-10-25,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25,Paulo Pedrosa 2016-10-25/2016-10-26 vacancy_acting,,0,0,C041;C067,C041;C067
temer-2016-11-18,office:gap-f2e2d30f861f,,temer-cultura,2016-11-18,2016-11-23,resolved_by_service_and_affiliation_adjudication,service-C047-mariana-ribas-da-silva;service-michel_temer-0-10,affiliation-1a01e6c71c60;affiliation-C047-mariana-ribas-da-silva-2016-11-22,Mariana Ribas da Silva 2016-11-22/2016-11-23 vacancy_acting | Marcelo Calero 2016-11-18/2016-11-22 titular,,0,0,C047;LEG-689fffcf6dc3,C047;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2016-11-25,office:gap-df38dc496982,,temer-secretaria-governo,2016-11-25,2017-02-03,historical_dependency_retained_primary_filled_by_assumption,service-C035-ivani-dos-santos,affiliation-C035-ivani-dos-santos-2016-11-25,Ivani dos Santos 2016-11-25/2017-02-03 vacancy_acting,person-ivani-dos-santos,70,0,C035;V5W1E001;V5W1E002;V5W1E003,C035;V5W1D001
temer-2017-02-22,person-37f571ff3c86,Marcos Galvão,temer-relacoes-exteriores,2017-02-22,2017-03-07,aggregate_resolved_personal_alternatives_retained,service-michel_temer-0-46,affiliation-7f51ac18f31f,Marcos Galvão 2017-02-22/2017-03-07 titular,,0,0,C027;LEG-5932ad93e7d8,C027;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-02-22,person-86d3dadcfd0f,José Levi Mello,temer-justica,2017-02-22,2017-03-07,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-35,affiliation-70f5e8999fb8,José Levi Mello 2017-02-22/2017-03-07 vacancy_acting,,0,0,C026;LEG-8668ded98bde,C026;OFFICE-CAPACITY-2017;PERSON-CONTINUITY-REVIEW
temer-2017-04-26,office:gap-39c58059991e,,temer-minas-e-energia,2017-04-26,2017-04-27,aggregate_resolved_personal_alternatives_retained,service-C041-paulo-pedrosa-2017-04-26,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26,Paulo Pedrosa 2017-04-26/2017-04-27 vacancy_acting,,0,0,C041;C067,C041;C067
temer-2017-05-31,office:gap-04dcc85c8f0a,,temer-cultura,2017-05-31,2017-08-02,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-12;service-michel_temer-0-13,affiliation-b4a761965dd6;affiliation-c0420f5557c9,João Batista de Andrade 2017-05-31/2017-07-25 vacancy_acting | Sérgio Sá Leitão 2017-07-25/2017-08-02 titular,,0,0,C008;LEG-5041fedb5f1c;LEG-7139e1851d7d,C008;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-05-31,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-05-31,2017-08-02,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-05-31/2017-08-02 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-08-02,office:gap-6a63c90af350,,temer-minas-e-energia,2017-08-02,2017-08-03,aggregate_resolved_personal_alternatives_retained,service-C041-paulo-pedrosa-2017-08-02,affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02,Paulo Pedrosa 2017-08-02/2017-08-03 vacancy_acting,,0,0,C041;C067,C041;C067
temer-2017-08-02,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-08-02,2017-08-03,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-08-02/2017-08-03 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-08-03,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-08-03,2017-10-18,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-08-03/2017-10-18 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-10-18,office:gap-4c3337a7818f,,temer-minas-e-energia,2017-10-18,2017-10-26,aggregate_resolved_personal_alternatives_retained,service-C041-paulo-pedrosa-2017-10-18,affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18,Paulo Pedrosa 2017-10-18/2017-10-26 vacancy_acting,,0,0,C041;C067,C041;C067
temer-2017-10-18,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-10-18,2017-10-26,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-10-18/2017-10-26 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-10-26,person-48a2cca11210,Marco Aurélio de Queiroz Campos,temer-cidades,2017-10-26,2017-12-31,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-7,affiliation-9e07f91b8db4,Marco Aurélio de Queiroz Campos 2017-11-13/2017-11-22 titular,,0,0,C026;LEG-5bb831c94f66,C026;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-10-26,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-10-26,2017-12-31,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-10-26/2017-12-31 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-12-31,office:gap-8405b5c80ded,,temer-direitos-humanos,2017-12-31,2018-03-21,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-14;service-michel_temer-0-15,affiliation-2c14403e141f;affiliation-8012d8e03cf8,Luislinda Valois 2017-12-31/2018-02-20 titular | Gustavo Rocha 2018-02-20/2018-03-21 titular,,0,0,ATLAS-607;C040;LEG-422e9936450e;LEG-9d878ec47da4,C040;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2017-12-31,person-6e58f0606af5,Wagner Rosário,temer-cgu,2017-12-31,2018-03-21,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2017-12-31/2018-03-21 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-03-21,person-6e58f0606af5,Wagner Rosário,temer-cgu,2018-03-21,2018-04-02,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2018-03-21/2018-04-02 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-02,person-34a8cf0e1dd6,Valter Casimiro Silveira,temer-transportes-portos-e-aviacao-civil,2018-04-02,2018-04-06,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-62,affiliation-6180c2397d82,Valter Casimiro Silveira 2018-04-02/2018-04-06 titular,,0,0,C001;LEG-1b538294c425;R13,C001;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R13
temer-2018-04-02,person-6e58f0606af5,Wagner Rosário,temer-cgu,2018-04-02,2018-04-06,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2018-04-02/2018-04-06 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,office:gap-5ca86b465daf,,temer-secretaria-geral,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-58f6ac35cb5d;service-michel_temer-0-53;service-michel_temer-0-55,affiliation-1126c806f45a;affiliation-12c68d7be9c0;affiliation-aef121686045;affiliation-c393ce25bc55,Joaquim Lima de Oliveira 2018-04-10/2018-05-28 vacancy_acting | Moreira Franco 2018-04-06/2018-04-10 titular | Ronaldo Fonseca 2018-05-28/2018-07-05 titular,,0,0,ATLAS-583;ATLAS-609;C026;C028;C041;LEG-79c599cac5ac;LEG-c9ecc2f3d167;LEG-f0e3878b0b42;NEW-FONSECA;OCC-005,C026;C028;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R12
temer-2018-04-06,office:gap-7e9a7b83eeae,,temer-planejamento,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-C052-person-97d87d5bc202;service-michel_temer-0-44,affiliation-54b3734919e3,Esteves Colnago 2018-04-06/2018-04-10 vacancy_acting | Esteves Colnago 2018-04-10/2018-07-05 titular,,0,0,ATLAS-586;C052;LEG-d0da31186ebc,C052;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,office:gap-896002fadcab,,temer-turismo,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-C053-person-9cf6aaca0bc9;service-michel_temer-0-66,affiliation-9314ed6419d2;affiliation-C053-alberto-alves,Alberto Alves 2018-04-06/2018-04-10 vacancy_acting | Vinicius Lummertz 2018-04-10/2018-07-05 titular,,0,0,ATLAS-605;C019;C053;LEG-8174e12a8374;LEG-b9d4dcb53939,C019;C053;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,office:gap-8f5180873620,,temer-educacao,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-C046-maria-helena-guimaraes-de-castro;service-michel_temer-0-21,affiliation-C046-maria-helena-guimaraes-de-castro-2018-04-06;affiliation-c28f7caff6cf,Maria Helena Guimarães de Castro 2018-04-06/2018-04-10 vacancy_acting | Rossieli Soares 2018-04-10/2018-07-05 titular,,0,0,C046;LEG-583e1fef9251,C046;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,office:gap-af9a7b6408ad,,temer-integracao,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-C051-mario-ramos-ribeiro;service-michel_temer-0-33,affiliation-C051-mario-ramos-ribeiro-2018-04-06;affiliation-c7723c64ec1a,Mário Ramos Ribeiro 2018-04-06/2018-04-10 vacancy_acting | Pádua Andrade 2018-04-10/2018-07-05 titular,,0,0,ATLAS-588;C051;C069;LEG-8553657ff23b,C051;C069;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,person-34a8cf0e1dd6,Valter Casimiro Silveira,temer-transportes-portos-e-aviacao-civil,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-62,affiliation-6180c2397d82,Valter Casimiro Silveira 2018-04-06/2018-07-05 titular,,0,0,C001;LEG-1b538294c425;R13,C001;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R13
temer-2018-04-06,person-6e58f0606af5,Wagner Rosário,temer-cgu,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2018-04-06/2018-07-05 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-04-06,person-c855c86b4f06,Joaquim Lima de Oliveira,temer-secretaria-geral,2018-04-06,2018-07-05,resolved_by_service_and_affiliation_adjudication,service-58f6ac35cb5d,affiliation-aef121686045,Joaquim Lima de Oliveira 2018-04-10/2018-05-28 vacancy_acting,,0,0,C026;C028;OCC-005,C026;C028;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW
temer-2018-07-05,office:gap-35764beba8ba,,temer-trabalho,2018-07-05,2018-07-11,resolved_by_service_and_affiliation_adjudication,service-C012-padilha-trabalho;service-michel_temer-0-60,affiliation-c67117c71f67;affiliation-cdaef6c4fd6d,Eliseu Padilha 2018-07-05/2018-07-10 vacancy_acting | Caio Vieira de Mello 2018-07-10/2018-07-11 titular,,0,0,C012;LEG-2fc1de1192dc;LEG-f764ca51f313,C012;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-07-05,person-34a8cf0e1dd6,Valter Casimiro Silveira,temer-transportes-portos-e-aviacao-civil,2018-07-05,2018-07-11,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-62,affiliation-6180c2397d82,Valter Casimiro Silveira 2018-07-05/2018-07-11 titular,,0,0,C001;LEG-1b538294c425;R13,C001;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R13
temer-2018-07-05,person-6e58f0606af5,Wagner Rosário,temer-cgu,2018-07-05,2018-07-11,resolved_by_service_and_affiliation_adjudication,service-michel_temer-0-19,affiliation-50f19c1ba2fb,Wagner Rosário 2018-07-05/2018-07-11 titular,,0,0,C015;LEG-300fa8e71e1b,C015;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2018-12-28,office:gap-4225a93161f0,,temer-secretaria-governo,2018-12-28,2019-01-01,historical_dependency_retained_primary_filled_by_assumption,service-13f7c2c1b899;service-C034-carlos-henrique-menezes-sobral,affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31;affiliation-c7e01caf6c57,Carlos Marun 2018-12-28/2018-12-31 titular | Carlos Henrique Menezes Sobral 2018-12-31/2019-01-01 vacancy_acting,person-carlos-henrique-menezes-sobral,1,0,C034;OFF-003;OFF-012;OFF-013;V5W2E001;V5W2E002;V5W2E003,C034;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;V5W2D001;V5W2D002
